2024-09-15 17:27:29,548 INFO    MainThread:43027 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-09-15 17:27:29,549 INFO    MainThread:43027 [wandb_setup.py:_flush():76] Configure stats pid to 43027
2024-09-15 17:27:29,549 INFO    MainThread:43027 [wandb_setup.py:_flush():76] Loading settings from /Users/jamesmaskill/.config/wandb/settings
2024-09-15 17:27:29,549 INFO    MainThread:43027 [wandb_setup.py:_flush():76] Loading settings from /Users/jamesmaskill/Documents/GitHub/Enriched_Decision_Transformers/wandb/settings
2024-09-15 17:27:29,549 INFO    MainThread:43027 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-09-15 17:27:29,549 INFO    MainThread:43027 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-09-15 17:27:29,549 INFO    MainThread:43027 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts/test_drawdown.py', 'program_abspath': '/Users/jamesmaskill/Documents/GitHub/Enriched_Decision_Transformers/scripts/test_drawdown.py', 'program': '/Users/jamesmaskill/Documents/GitHub/Enriched_Decision_Transformers/scripts/test_drawdown.py'}
2024-09-15 17:27:29,549 INFO    MainThread:43027 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-09-15 17:27:29,550 INFO    MainThread:43027 [wandb_init.py:_log_setup():529] Logging user logs to ./log/dt/d4rl_corl/walker2d-medium-replay-v2_seed42-09-15-17-27-43027/wandb/run-20240915_172729-k7ega2cx/logs/debug.log
2024-09-15 17:27:29,550 INFO    MainThread:43027 [wandb_init.py:_log_setup():530] Logging internal logs to ./log/dt/d4rl_corl/walker2d-medium-replay-v2_seed42-09-15-17-27-43027/wandb/run-20240915_172729-k7ega2cx/logs/debug-internal.log
2024-09-15 17:27:29,550 INFO    MainThread:43027 [wandb_init.py:init():569] calling init triggers
2024-09-15 17:27:29,550 INFO    MainThread:43027 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'NameSpace': {}, 'attention_dropout': 0.1, 'batch_size': 64, 'betas': [0.9, 0.999], 'clip_grad': 0.25, 'debug': False, 'embed_dim': 128, 'embed_dropout': 0.1, 'episode_len': 1000, 'eval_episode': 10, 'eval_interval': 10, 'log_interval': 10, 'lr': 0.0008, 'max_drawdown': [], 'max_epoch': 10000, 'name': 'd4rl_corl', 'normalize_obs': True, 'normalize_reward': False, 'num_heads': 1, 'num_layers': 5, 'num_workers': 4, 'policy_type': 'deterministic', 'pos_encoding': 'embed', 'residual_dropout': 0.1, 'return_scale': 0.001, 'save_interval': 50, 'seed': 42, 'seq_len': 400, 'step_per_epoch': 100, 'target_returns': [300], 'task': 'walker2d-medium-replay-v2', 'total_timesteps': [], 'use_abs_timestep': True, 'wandb': {'entity': None, 'project': None}, 'warmup_steps': 1, 'weight_decay': 0.0001}
2024-09-15 17:27:29,550 INFO    MainThread:43027 [wandb_init.py:init():619] starting backend
2024-09-15 17:27:29,550 INFO    MainThread:43027 [wandb_init.py:init():623] setting up manager
2024-09-15 17:27:29,553 INFO    MainThread:43027 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-09-15 17:27:29,555 INFO    MainThread:43027 [wandb_init.py:init():631] backend started and connected
2024-09-15 17:27:29,561 INFO    MainThread:43027 [wandb_init.py:init():720] updated telemetry
2024-09-15 17:27:29,582 INFO    MainThread:43027 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-09-15 17:27:29,930 INFO    MainThread:43027 [wandb_run.py:_on_init():2435] communicating current version
2024-09-15 17:27:30,094 INFO    MainThread:43027 [wandb_run.py:_on_init():2444] got version response upgrade_message: "wandb version 0.18.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-09-15 17:27:30,094 INFO    MainThread:43027 [wandb_init.py:init():804] starting run threads in backend
